-46.841,56.379,1.2784
-48.772,59.689,1.3401
-50.582,52.147,1.3543
-52.052,53.697,1.3276
-52.413,47.881,1.3422
-52.107,41.207,1.2854
-53.227,39.575,1.2536
-54.14,38.401,1.2835
-54.018,34.64,1.2918
-54.749,31.431,1.2582
-54.989,28.573,1.2399
-54.999,24.04,1.2136
-56.309,25.563,1.1523
-56.176,21.889,1.155
-56.11,18.338,1.1645
-56.509,18.301,1.1048
-57.01,17.507,1.1268
-56.976,14.411,1.1587
-57.227,13.825,1.1352
-57.51,14.351,1.0771
-57.199,8.9886,1.0783
-57.737,10.124,1.0218
-58.262,11.095,1.0275
-58.351,11.036,1.0641
-58.303,9.985,1.0985
-58.52,9.6398,1.0709
-58.363,7.4607,1.0618
-58.358,5.5831,1.0098
-58.603,5.5436,0.9999
-58.705,6.6186,1.0229
-58.475,3.1325,0.97385
-58.89,4.9592,0.93072
-58.819,3.4999,0.95605
-58.747,2.7942,0.91083
-58.437,0.87499,0.98365
-58.901,3.1203,0.97274
-59.246,4.5171,0.94999
-59.023,4.0185,0.98969
-58.869,2.8007,0.97651
-59.351,3.6424,0.9907
-59.003,1.8144,0.96627
-59.266,3.2466,0.9453
-58.856,1.1818,1.0159
-59.357,3.8651,0.95184
-59.289,3.0031,0.99432
-58.599,-2.5637,1.0104
-58.133,-4.3518,0.95243
-58.069,-3.9142,0.93141
-58.234,-4.1765,0.92278
-58.218,-3.3323,0.87478
-58.018,-4.0654,0.9007
-58.01,-4.164,0.89377
-58.148,-1.6979,0.88204
-57.934,-3.5061,0.91778
-58.005,-2.0293,0.87814
-57.823,-2.8225,0.89906
-57.398,-4.9398,0.87984
-57.817,-2.3474,0.8432
-57.48,-3.9889,0.91423
-56.956,-5.9775,0.89063
-56.601,-7.1339,0.8615
-56.847,-6.0949,0.85811
-56.533,-6.3293,0.86113
-55.621,-10.312,0.86839
-55.606,-8.6981,0.83163
-55.366,-8.4129,0.85888
-55.23,-9.7505,0.8285
-55.324,-7.4847,0.81807
